Level,Date and Time,Source,Event ID,Task Category
Information,11/14/2021 5:45:38 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,1136,None,RD Session Host Server role is not installed.
Information,11/14/2021 5:45:37 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/14/2021 5:45:37 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/14/2021 5:45:37 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/14/2021 5:45:37 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/14/2021 5:45:37 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,258,None,Listener RDP-Tcp has started listening
Information,11/14/2021 5:45:32 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,20523,None,Connection from listener RDP-Tcp will have terminal class of {5828227c-20cf-4408-b73f-73ab70b8849f}
Information,11/14/2021 5:45:31 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/14/2021 5:45:29 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,32,None,Plugin RDSAppXPlugin has been successfully initialized
Error,11/14/2021 5:44:41 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,17,None,Remote Desktop Service start failed. The relevant status code was 0x8007045B.
Information,11/14/2021 5:44:34 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,54,None,Local multi-user session manager received system shutdown message
Information,11/14/2021 5:44:34 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,23,None,"Remote Desktop Services: Session logoff succeeded:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1"
Information,11/14/2021 5:28:41 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,22,None,"Remote Desktop Services: Shell start notification received:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1
Source Network Address: LOCAL"
Information,11/14/2021 5:28:37 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,21,None,"Remote Desktop Services: Session logon succeeded:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1
Source Network Address: LOCAL"
Information,11/14/2021 5:28:34 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,42,None,"End session arbitration:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1"
Information,11/14/2021 5:28:34 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,41,None,"Begin session arbitration:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1"
Information,11/14/2021 5:27:18 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/14/2021 5:27:16 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,1136,None,RD Session Host Server role is not installed.
Information,11/14/2021 5:27:15 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/14/2021 5:27:15 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/14/2021 5:27:15 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/14/2021 5:27:15 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/14/2021 5:27:15 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,258,None,Listener RDP-Tcp has started listening
Information,11/14/2021 5:27:10 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,20523,None,Connection from listener RDP-Tcp will have terminal class of {5828227c-20cf-4408-b73f-73ab70b8849f}
Information,11/14/2021 5:27:09 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/14/2021 5:27:07 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,32,None,Plugin RDSAppXPlugin has been successfully initialized
Error,11/14/2021 5:26:15 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,17,None,Remote Desktop Service start failed. The relevant status code was 0x8007045B.
Information,11/14/2021 5:26:07 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,54,None,Local multi-user session manager received system shutdown message
Information,11/14/2021 5:26:07 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,23,None,"Remote Desktop Services: Session logoff succeeded:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1"
Information,11/14/2021 5:14:24 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,22,None,"Remote Desktop Services: Shell start notification received:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1
Source Network Address: LOCAL"
Information,11/14/2021 5:14:19 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,21,None,"Remote Desktop Services: Session logon succeeded:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1
Source Network Address: LOCAL"
Information,11/14/2021 5:14:17 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,42,None,"End session arbitration:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1"
Information,11/14/2021 5:14:16 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,41,None,"Begin session arbitration:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1"
Information,11/14/2021 5:13:25 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/14/2021 5:13:23 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,1136,None,RD Session Host Server role is not installed.
Information,11/14/2021 5:13:22 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/14/2021 5:13:22 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/14/2021 5:13:22 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/14/2021 5:13:22 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/14/2021 5:13:22 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,258,None,Listener RDP-Tcp has started listening
Information,11/14/2021 5:13:17 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,20523,None,Connection from listener RDP-Tcp will have terminal class of {5828227c-20cf-4408-b73f-73ab70b8849f}
Information,11/14/2021 5:13:16 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/14/2021 1:53:30 PM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/14/2021 1:53:30 PM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,1136,None,RD Session Host Server role is not installed.
Information,11/14/2021 1:53:28 PM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/14/2021 1:53:28 PM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/14/2021 1:53:28 PM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/14/2021 1:53:28 PM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/14/2021 1:53:28 PM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,258,None,Listener RDP-Tcp has started listening
Information,11/14/2021 1:53:23 PM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,20523,None,Connection from listener RDP-Tcp will have terminal class of {5828227c-20cf-4408-b73f-73ab70b8849f}
Information,11/14/2021 1:53:22 PM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/14/2021 5:13:13 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,32,None,Plugin RDSAppXPlugin has been successfully initialized
Error,11/14/2021 5:12:21 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,17,None,Remote Desktop Service start failed. The relevant status code was 0x8007045B.
Information,11/14/2021 5:12:13 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,54,None,Local multi-user session manager received system shutdown message
Information,11/14/2021 5:12:12 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,23,None,"Remote Desktop Services: Session logoff succeeded:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1"
